,,,,,,,,,Part Request List,,
,,,,,,,,,Requested By:,_______________                                ,
,,,,,,,,,Date Requested:,__ /__ /__,
,,,,,,,,,Date Completed:,__ /__ /__,
,,,,,,,,,Assembly Name:,_______________,
,,,,,,,,,Assemblies:,x1,
,,,,,,,,,,,
,,,,,,,,,,,
Machine,Completed Kit,Completed Assembly Name,Number Per Machine,UOM,Quantity per Machine,Quantity per Assembly,Final QTY (per Machine),Stocked,Part Number,Description,Requested Quantity
R300,unknown…,Control Box Panel Assembly,1,each,1,2,2,No,70187-SD-100,"Digital Output, NI-9478",2
R300,unknown…,Control Box Panel Assembly,1,each,1,1,1,No,70188-SD-100,"CAN, NI-9853",1
R300,unknown…,Control Box Panel Assembly,1,each,1,0,0,No,70191-SD-100,"Controller, NI-9068",0
R300,unknown…,Control Box Panel Assembly,1,each,1,2,2,No,70295-SD-100,Deutsch PinLock,2
R300,unknown…,Control Box Panel Assembly,1,each,1,6,6,Yes,70317-SD-100,"Deutsch, Gasket, HD30, Size 24, 16-04477",0
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,28058-CB-100,"Dashboard Insert, Bolt-in",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,28060-CB-100,"Dash panel insert, JCB engine",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,28088-CB-100,"Dashboard weldment, Bolt-in",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,50253-SD-100,"Wiper, Wire Harness, 10' KET TO 311-1019, AM Equipment 310-1036",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,14,14,No,61318-ME-100,"Stainless Steel Flanged Button-Head Socket Cap Screw, M4 Size, 10 mm Long, 0.7 mm Pitch, McMaster 97654A373",14
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70012-SD-100,DT06-3S,1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70014-SD-100,W3S,1
R300,75166-SD-100,Dashboard Assembly,1,each,1,2,2,No,70032-SD-100,"Duetsch DT06-2S, Plug, DT, 2 Way, Grey, 93445-1102",2
R300,75166-SD-100,Dashboard Assembly,1,each,1,2,2,No,70042-SD-100,"Deutsch W2S, Wedgelock, DT, 2 way Plug, Orange",2
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70054-SD-100,"Eaton,  M22-PV-K01, E Stop Pushbutton, Red, 1 NC base mount contact",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,2,2,No,70080-SD-100,"Circuit Breaker, Auto Reset, 10 Amp, Waytek 46410",2
R300,75166-SD-100,Dashboard Assembly,1,each,1,2,2,No,70082-SD-100,"Circuit Breaker, Auto Reset, 20 Amp, Waytek 46420",2
R300,75166-SD-100,Dashboard Assembly,1,each,1,4,4,No,70135-SD-100,"Base, Relay, Mini-ISO, TE VCF4-1002",4
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70317-SD-100,"Deutsch, Gasket, HD30, Size 24, 16-04477",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70319-SD-100,"Deutsch, Lockwasher, HDP20, Size 24, 2414-001-2486",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70321-SD-100,"Deutsch, Nut, HDP20, Size 24, 2411-001-2405",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70336-SD-100,"Deutsch, DTM04-6P, Receptacle, 6 way",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70337-SD-100,"Deutsch, WM-6P, Wedgelock for DTM04-6P",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,4,4,No,70343-SD-100,"Relay, Mini-ISO, Form C, 12V coil, 40/20A V23234A0001X037",4
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,70507-SD-100,"Power Outlet, 12V Receptacle",1
R300,75166-SD-100,Dashboard Assembly,1,each,1,1,1,No,71465-SD-100,"Eaton Bussmann Series 53-3318, Black Panel Plug",1
R300,No Part Number,HV Box Prep,1,each,1,1,1,No,28042-CB-100,"Enclosure, Servo System, modified 70097-SD-100, Separate connector panel",1
